single_frac,task_alpha,single_mass,multi_mass,total_mass,multicellular_pct
0.0,0.1,0,10,20,1.0
0.0,0.1152,0,10,20,1.0
0.0,0.1328,0,10,20,0.9975845410628019
0.0,0.153,0,10,20,1.0
0.0,0.1763,0,10,20,0.9868827160493826
0.0,0.2031,0,10,20,0.9967637540453075
0.0,0.234,0,10,20,1.0
0.0,0.2697,0,10,20,0.9959839357429718
0.0,0.3107,0,10,20,0.9978632478632479
0.0,0.358,0,10,20,0.9971014492753624
0.0,0.4125,0,10,20,1.0
0.0,0.4754,0,10,20,1.0
0.0,0.5477,0,10,20,1.0
0.0,0.6311,0,10,20,0.9924697797648617
0.0,0.7272,0,10,20,0.9973958333333334
0.0,0.8379,0,10,20,0.9927260250471779
0.0,0.9655,0,10,20,0.9981481481481481
0.0,1.1125,0,10,20,0.9949598691467915
0.0,1.2819,0,10,20,0.9922595897201251
0.0,1.477,0,10,20,0.9977628635346756
0.0,1.7019,0,10,20,0.9955555555555556
0.0,1.961,0,10,20,0.9927961666618653
0.0,2.2596,0,10,20,0.9980276134122287
0.0,2.6036,0,10,20,0.9981481481481481
0.0,3.0,0,10,20,0.9959839357429718
0.0417,0.1,1,9,19,0.8240890817905036
0.0417,0.1152,1,9,19,0.8193004717687468
0.0417,0.1328,1,9,19,0.8434195342228749
0.0417,0.153,1,9,19,0.8308485700890764
0.0417,0.1763,1,9,19,0.7890508651848149
0.0417,0.2031,1,9,19,0.8453572354531649
0.0417,0.234,1,9,19,0.8402312549860151
0.0417,0.2697,1,9,19,0.9085021993049026
0.0417,0.3107,1,9,19,0.84488023452918
0.0417,0.358,1,9,19,0.8289511892505478
0.0417,0.4125,1,9,19,0.824464023713313
0.0417,0.4754,1,9,19,0.8457524252490773
0.0417,0.5477,1,9,19,0.886692942942943
0.0417,0.6311,1,9,19,0.8703395905388919
0.0417,0.7272,1,9,19,0.8626785133588984
0.0417,0.8379,1,9,19,0.8550803850427365
0.0417,0.9655,1,9,19,0.8167326863405296
0.0417,1.1125,1,9,19,0.8492886628675409
0.0417,1.2819,1,9,19,0.8731404165466935
0.0417,1.477,1,9,19,0.861655598329607
0.0417,1.7019,1,9,19,0.863065001615607
0.0417,1.961,1,9,19,0.8456146321176954
0.0417,2.2596,1,9,19,0.8627458960792295
0.0417,2.6036,1,9,19,0.8778961536706666
0.0417,3.0,1,9,19,0.8407708788021987
0.0833,0.1,2,9,20,0.7055809556832555
0.0833,0.1152,2,9,20,0.8711683215776578
0.0833,0.1328,2,9,20,0.8241905153669858
0.0833,0.153,2,9,20,0.8473143158112544
0.0833,0.1763,2,9,20,0.696001941661886
0.0833,0.2031,2,9,20,0.8211708003069699
0.0833,0.234,2,9,20,0.732036563575203
0.0833,0.2697,2,9,20,0.722406752352306
0.0833,0.3107,2,9,20,0.7547642416063468
0.0833,0.358,2,9,20,0.763213662428322
0.0833,0.4125,2,9,20,0.774908624893735
0.0833,0.4754,2,9,20,0.7408669294211309
0.0833,0.5477,2,9,20,0.74158879916556
0.0833,0.6311,2,9,20,0.7425696540659579
0.0833,0.7272,2,9,20,0.747810969804895
0.0833,0.8379,2,9,20,0.7089756247980099
0.0833,0.9655,2,9,20,0.6985060158579323
0.0833,1.1125,2,9,20,0.7496837022903374
0.0833,1.2819,2,9,20,0.7545476450441949
0.0833,1.477,2,9,20,0.749741946623478
0.0833,1.7019,2,9,20,0.6979395312218545
0.0833,1.961,2,9,20,0.7014327285063949
0.0833,2.2596,2,9,20,0.766055405929131
0.0833,2.6036,2,9,20,0.7268787811989158
0.0833,3.0,2,9,20,0.6801499199741569
0.125,0.1,2,9,20,0.7117042412992568
0.125,0.1152,2,9,20,0.8535665074443952
0.125,0.1328,2,9,20,0.8484065070149976
0.125,0.153,2,9,20,0.7816882484635008
0.125,0.1763,2,9,20,0.7020853551519961
0.125,0.2031,2,9,20,0.8147087350412159
0.125,0.234,2,9,20,0.7659036967400056
0.125,0.2697,2,9,20,0.7311590638585602
0.125,0.3107,2,9,20,0.7079614980648459
0.125,0.358,2,9,20,0.7581057255558212
0.125,0.4125,2,9,20,0.772733959523924
0.125,0.4754,2,9,20,0.6899110542103567
0.125,0.5477,2,9,20,0.7139186224462777
0.125,0.6311,2,9,20,0.7415274970747793
0.125,0.7272,2,9,20,0.7446778711484594
0.125,0.8379,2,9,20,0.7464388215310724
0.125,0.9655,2,9,20,0.6805377709192925
0.125,1.1125,2,9,20,0.78375388053201
0.125,1.2819,2,9,20,0.7649442730780193
0.125,1.477,2,9,20,0.6872442562033978
0.125,1.7019,2,9,20,0.6632055358842291
0.125,1.961,2,9,20,0.7242844783394523
0.125,2.2596,2,9,20,0.7331813133947492
0.125,2.6036,2,9,20,0.7319809736283883
0.125,3.0,2,9,20,0.7187175993854055
0.1667,0.1,3,8,19,0.8159836877291071
0.1667,0.1152,3,8,19,0.7501847679671947
0.1667,0.1328,3,8,19,0.7134943999684732
0.1667,0.153,3,8,19,0.7597327764501848
0.1667,0.1763,3,8,19,0.7581699346405228
0.1667,0.2031,3,8,19,0.7070827961056586
0.1667,0.234,3,8,19,0.7501186810075205
0.1667,0.2697,3,8,19,0.7697780564828632
0.1667,0.3107,3,8,19,0.6754033486163046
0.1667,0.358,3,8,19,0.7591285123377549
0.1667,0.4125,3,8,19,0.6857108472633312
0.1667,0.4754,3,8,19,0.6868479031403251
0.1667,0.5477,3,8,19,0.7136044237204748
0.1667,0.6311,3,8,19,0.7334309435286634
0.1667,0.7272,3,8,19,0.748374109444346
0.1667,0.8379,3,8,19,0.5763984008862458
0.1667,0.9655,3,8,19,0.639908802077898
0.1667,1.1125,3,8,19,0.685380722337244
0.1667,1.2819,3,8,19,0.6082576066599281
0.1667,1.477,3,8,19,0.6963524875414127
0.1667,1.7019,3,8,19,0.6690839984076131
0.1667,1.961,3,8,19,0.6170918472652218
0.1667,2.2596,3,8,19,0.6612969556517944
0.1667,2.6036,3,8,19,0.5920119864999884
0.1667,3.0,3,8,19,0.6328204364794837
0.2083,0.1,4,8,20,0.7571741378930922
0.2083,0.1152,4,8,20,0.6900155641953455
0.2083,0.1328,4,8,20,0.7842950760082013
0.2083,0.153,4,8,20,0.6670795309415999
0.2083,0.1763,4,8,20,0.7287118806184706
0.2083,0.2031,4,8,20,0.7515146646256258
0.2083,0.234,4,8,20,0.7078155967255494
0.2083,0.2697,4,8,20,0.6602145657954591
0.2083,0.3107,4,8,20,0.6497415150494671
0.2083,0.358,4,8,20,0.6640757897796429
0.2083,0.4125,4,8,20,0.640541361643674
0.2083,0.4754,4,8,20,0.5970983290195727
0.2083,0.5477,4,8,20,0.627071414010473
0.2083,0.6311,4,8,20,0.5926969519535111
0.2083,0.7272,4,8,20,0.5880176602277531
0.2083,0.8379,4,8,20,0.6671037745852582
0.2083,0.9655,4,8,20,0.6162729703723117
0.2083,1.1125,4,8,20,0.5810619045995874
0.2083,1.2819,4,8,20,0.5883989083643106
0.2083,1.477,4,8,20,0.5649218598190356
0.2083,1.7019,4,8,20,0.5757875012224639
0.2083,1.961,4,8,20,0.5723916488804827
0.2083,2.2596,4,8,20,0.6245473693621949
0.2083,2.6036,4,8,20,0.5844201384416644
0.2083,3.0,4,8,20,0.5686962480639113
0.25,0.1,5,7,19,0.7401493105159854
0.25,0.1152,5,7,19,0.7855576985450838
0.25,0.1328,5,7,19,0.7678613043324741
0.25,0.153,5,7,19,0.6626283217647191
0.25,0.1763,5,7,19,0.7004995768396222
0.25,0.2031,5,7,19,0.706362440906374
0.25,0.234,5,7,19,0.6919147538138902
0.25,0.2697,5,7,19,0.6567128257413484
0.25,0.3107,5,7,19,0.6324298236870957
0.25,0.358,5,7,19,0.6464267507088185
0.25,0.4125,5,7,19,0.5838459286890056
0.25,0.4754,5,7,19,0.5898926359639991
0.25,0.5477,5,7,19,0.6192830946959075
0.25,0.6311,5,7,19,0.6583484061007115
0.25,0.7272,5,7,19,0.6577807818327438
0.25,0.8379,5,7,19,0.5743808765536306
0.25,0.9655,5,7,19,0.6160485330650217
0.25,1.1125,5,7,19,0.5412933458937373
0.25,1.2819,5,7,19,0.6015937795163704
0.25,1.477,5,7,19,0.6022774847238738
0.25,1.7019,5,7,19,0.6630727179507668
0.25,1.961,5,7,19,0.6386349592553971
0.25,2.2596,5,7,19,0.5990284278196105
0.25,2.6036,5,7,19,0.578562727416548
0.25,3.0,5,7,19,0.6121716756199037
0.2917,0.1,6,7,20,0.6251700680272109
0.2917,0.1152,6,7,20,0.7601830517153099
0.2917,0.1328,6,7,20,0.7661813492290938
0.2917,0.153,6,7,20,0.6852811764915496
0.2917,0.1763,6,7,20,0.6864722539796725
0.2917,0.2031,6,7,20,0.7207720752027087
0.2917,0.234,6,7,20,0.6527321490636894
0.2917,0.2697,6,7,20,0.6865320276277718
0.2917,0.3107,6,7,20,0.6392765095729013
0.2917,0.358,6,7,20,0.622722141347976
0.2917,0.4125,6,7,20,0.5611517330379677
0.2917,0.4754,6,7,20,0.5777772459881537
0.2917,0.5477,6,7,20,0.6285555293638106
0.2917,0.6311,6,7,20,0.5563762927716579
0.2917,0.7272,6,7,20,0.5870198899153709
0.2917,0.8379,6,7,20,0.5642617909034219
0.2917,0.9655,6,7,20,0.6129291504543232
0.2917,1.1125,6,7,20,0.5215038722598154
0.2917,1.2819,6,7,20,0.5837339831786874
0.2917,1.477,6,7,20,0.5972725248743349
0.2917,1.7019,6,7,20,0.644375140143908
0.2917,1.961,6,7,20,0.6034805296053388
0.2917,2.2596,6,7,20,0.5576096063900942
0.2917,2.6036,6,7,20,0.5666153379245499
0.2917,3.0,6,7,20,0.6100384995121838
0.3333,0.1,7,6,19,0.7546581373274089
0.3333,0.1152,7,6,19,0.6807789560083138
0.3333,0.1328,7,6,19,0.7920259948479985
0.3333,0.153,7,6,19,0.6207561334558324
0.3333,0.1763,7,6,19,0.6444645187192612
0.3333,0.2031,7,6,19,0.6718352742598751
0.3333,0.234,7,6,19,0.7093347064623012
0.3333,0.2697,7,6,19,0.6366972768905551
0.3333,0.3107,7,6,19,0.6444832170156198
0.3333,0.358,7,6,19,0.6303203932639495
0.3333,0.4125,7,6,19,0.5406598695438635
0.3333,0.4754,7,6,19,0.5784550888979688
0.3333,0.5477,7,6,19,0.5544542718645411
0.3333,0.6311,7,6,19,0.52917485512258
0.3333,0.7272,7,6,19,0.5748218221978453
0.3333,0.8379,7,6,19,0.6510522694379196
0.3333,0.9655,7,6,19,0.590163565231316
0.3333,1.1125,7,6,19,0.5380577744044345
0.3333,1.2819,7,6,19,0.5809474557081463
0.3333,1.477,7,6,19,0.5281242781242782
0.3333,1.7019,7,6,19,0.5877316031254899
0.3333,1.961,7,6,19,0.5872632304257942
0.3333,2.2596,7,6,19,0.5308138975746565
0.3333,2.6036,7,6,19,0.5382468795294447
0.3333,3.0,7,6,19,0.6045008298675908
0.375,0.1,8,6,20,0.7478428521883457
0.375,0.1152,8,6,20,0.6222497136311569
0.375,0.1328,8,6,20,0.7691731482029139
0.375,0.153,8,6,20,0.7003644640863936
0.375,0.1763,8,6,20,0.643376002427895
0.375,0.2031,8,6,20,0.6170618333078141
0.375,0.234,8,6,20,0.6653065625813631
0.375,0.2697,8,6,20,0.6369692100622647
0.375,0.3107,8,6,20,0.6239399780799656
0.375,0.358,8,6,20,0.5547244369369932
0.375,0.4125,8,6,20,0.5512333408237421
0.375,0.4754,8,6,20,0.6097455842441816
0.375,0.5477,8,6,20,0.5651912178572293
0.375,0.6311,8,6,20,0.5126093765055296
0.375,0.7272,8,6,20,0.565649769420651
0.375,0.8379,8,6,20,0.5953731531589791
0.375,0.9655,8,6,20,0.5592678700477555
0.375,1.1125,8,6,20,0.48391168257844064
0.375,1.2819,8,6,20,0.5939463686235977
0.375,1.477,8,6,20,0.5091701161859535
0.375,1.7019,8,6,20,0.5424634489192061
0.375,1.961,8,6,20,0.5735160652137462
0.375,2.2596,8,6,20,0.5243274148263114
0.375,2.6036,8,6,20,0.5572097059421793
0.375,3.0,8,6,20,0.5903749258684104
0.4167,0.1,8,6,20,0.7813260279014163
0.4167,0.1152,8,6,20,0.6592037624794852
0.4167,0.1328,8,6,20,0.7565767185272456
0.4167,0.153,8,6,20,0.7105607728908067
0.4167,0.1763,8,6,20,0.6985504582489434
0.4167,0.2031,8,6,20,0.658045897817986
0.4167,0.234,8,6,20,0.6557057996642727
0.4167,0.2697,8,6,20,0.6305095296122215
0.4167,0.3107,8,6,20,0.6113042163373467
0.4167,0.358,8,6,20,0.5495443616291965
0.4167,0.4125,8,6,20,0.5720291883246701
0.4167,0.4754,8,6,20,0.6048554390698698
0.4167,0.5477,8,6,20,0.5482567650280857
0.4167,0.6311,8,6,20,0.4951682800444912
0.4167,0.7272,8,6,20,0.5548056016499214
0.4167,0.8379,8,6,20,0.5868087077609263
0.4167,0.9655,8,6,20,0.5556226467277178
0.4167,1.1125,8,6,20,0.49728197007828384
0.4167,1.2819,8,6,20,0.5642436376043674
0.4167,1.477,8,6,20,0.48841867162632985
0.4167,1.7019,8,6,20,0.537840345154489
0.4167,1.961,8,6,20,0.5679098352043486
0.4167,2.2596,8,6,20,0.5333977041760082
0.4167,2.6036,8,6,20,0.5602888912989008
0.4167,3.0,8,6,20,0.5900730770295989
0.4583,0.1,9,5,19,0.7593062249942862
0.4583,0.1152,9,5,19,0.684201537826073
0.4583,0.1328,9,5,19,0.7540703334057444
0.4583,0.153,9,5,19,0.673429259598498
0.4583,0.1763,9,5,19,0.7175805700967212
0.4583,0.2031,9,5,19,0.6804868349803709
0.4583,0.234,9,5,19,0.6749028885189404
0.4583,0.2697,9,5,19,0.6651571457379081
0.4583,0.3107,9,5,19,0.6009765740620914
0.4583,0.358,9,5,19,0.5951909234960672
0.4583,0.4125,9,5,19,0.550689824787729
0.4583,0.4754,9,5,19,0.529191129564626
0.4583,0.5477,9,5,19,0.5581396778942397
0.4583,0.6311,9,5,19,0.4970651141520386
0.4583,0.7272,9,5,19,0.5591279407306328
0.4583,0.8379,9,5,19,0.5357488317494452
0.4583,0.9655,9,5,19,0.4924458660550968
0.4583,1.1125,9,5,19,0.5103225724856726
0.4583,1.2819,9,5,19,0.4992916145886536
0.4583,1.477,9,5,19,0.5917311774559852
0.4583,1.7019,9,5,19,0.5682978074946
0.4583,1.961,9,5,19,0.5336377284977049
0.4583,2.2596,9,5,19,0.5222337709830037
0.4583,2.6036,9,5,19,0.5496552183150475
0.4583,3.0,9,5,19,0.550247417494444
0.5,0.1,10,5,20,0.7712399401891993
0.5,0.1152,10,5,20,0.7059546163448936
0.5,0.1328,10,5,20,0.7788218565393842
0.5,0.153,10,5,20,0.6541189375479188
0.5,0.1763,10,5,20,0.6691473774893572
0.5,0.2031,10,5,20,0.6620476483054621
0.5,0.234,10,5,20,0.6786138507309317
0.5,0.2697,10,5,20,0.6767122133960338
0.5,0.3107,10,5,20,0.5762182815842646
0.5,0.358,10,5,20,0.5792002816819647
0.5,0.4125,10,5,20,0.5720341043554374
0.5,0.4754,10,5,20,0.5200965969911993
0.5,0.5477,10,5,20,0.5763163892389312
0.5,0.6311,10,5,20,0.5108622316040858
0.5,0.7272,10,5,20,0.5938023967183189
0.5,0.8379,10,5,20,0.5264514545811617
